name,threads,n,run,duration
mpi-pi++,8,2,3,0.0306295
cpp11-pi,8,2,4,0.000666
openMP-pi,8,2,4,0.001495
mpi-pi,8,2,4,0.03056956
mpi-pi++,8,2,4,0.0207647
cpp11-pi,8,2,5,0.000689
openMP-pi,8,2,5,0.001418
mpi-pi,8,2,5,0.02088583
mpi-pi++,8,2,5,0.0306318
cpp11-pi,8,2,6,0.000669
openMP-pi,8,2,6,0.001457
mpi-pi,8,2,6,0.03080372
mpi-pi++,8,2,6,0.0304822
cpp11-pi,8,2,7,0.000716
openMP-pi,8,2,7,0.001468
mpi-pi,8,2,7,0.03057720
mpi-pi++,8,2,7,0.020921
cpp11-pi,8,2,8,0.000721
openMP-pi,8,2,8,0.001531
mpi-pi,8,2,8,0.03070583
mpi-pi++,8,2,8,0.0306212
cpp11-pi,8,2,9,0.000723
openMP-pi,8,2,9,0.001421
mpi-pi,8,2,9,0.03063386
mpi-pi++,8,2,9,0.0207139
cpp11-pi,8,2,10,0.000692
openMP-pi,8,2,10,0.001753
mpi-pi,8,2,10,0.03061666
mpi-pi++,8,2,10,0.0307176
cpp11-pi,1,4,1,0.008426
openMP-pi,1,4,1,0.010171
mpi-pi,1,4,1,0.00800381
mpi-pi++,1,4,1,0.00825327
cpp11-pi,1,4,2,0.008251
openMP-pi,1,4,2,0.010624
mpi-pi,1,4,2,0.00792302
mpi-pi++,1,4,2,0.00778682
cpp11-pi,1,4,3,0.008367
openMP-pi,1,4,3,0.011247
mpi-pi,1,4,3,0.00784883
mpi-pi++,1,4,3,0.00813927
cpp11-pi,1,4,4,0.008264
openMP-pi,1,4,4,0.011972
mpi-pi,1,4,4,0.00786524
mpi-pi++,1,4,4,0.00785531
cpp11-pi,1,4,5,0.008044
openMP-pi,1,4,5,0.010586
mpi-pi,1,4,5,0.00790169
mpi-pi++,1,4,5,0.00793998
cpp11-pi,1,4,6,0.007984
openMP-pi,1,4,6,0.011819
mpi-pi,1,4,6,0.00796757
mpi-pi++,1,4,6,0.00796489
cpp11-pi,1,4,7,0.008097
openMP-pi,1,4,7,0.012461
mpi-pi,1,4,7,0.00792297
mpi-pi++,1,4,7,0.00793715
cpp11-pi,1,4,8,0.008126
openMP-pi,1,4,8,0.013419
mpi-pi,1,4,8,0.00824000
mpi-pi++,1,4,8,0.00794363
cpp11-pi,1,4,9,0.008116
openMP-pi,1,4,9,0.013057
mpi-pi,1,4,9,0.00791793
mpi-pi++,1,4,9,0.00789747
cpp11-pi,1,4,10,0.008149
openMP-pi,1,4,10,0.012123
mpi-pi,1,4,10,0.00783291
mpi-pi++,1,4,10,0.00791972
cpp11-pi,2,4,1,0.004128
openMP-pi,2,4,1,0.01102
mpi-pi,2,4,1,0.01402148
mpi-pi++,2,4,1,0.0140365
cpp11-pi,2,4,2,0.004012
openMP-pi,2,4,2,0.01139
mpi-pi,2,4,2,0.01407297
mpi-pi++,2,4,2,0.0140369
cpp11-pi,2,4,3,0.00418
openMP-pi,2,4,3,0.010561
mpi-pi,2,4,3,0.01409784
mpi-pi++,2,4,3,0.003975
cpp11-pi,2,4,4,0.013789
openMP-pi,2,4,4,0.009855
mpi-pi,2,4,4,0.01390682
mpi-pi++,2,4,4,0.0144415
cpp11-pi,2,4,5,0.004088
openMP-pi,2,4,5,0.011215
mpi-pi,2,4,5,0.01414950
mpi-pi++,2,4,5,0.0142646
cpp11-pi,2,4,6,0.003985
openMP-pi,2,4,6,0.01121
mpi-pi,2,4,6,0.00400946
mpi-pi++,2,4,6,0.00400815
cpp11-pi,2,4,7,0.008749
openMP-pi,2,4,7,0.009072
mpi-pi,2,4,7,0.01409040
mpi-pi++,2,4,7,0.0141726
cpp11-pi,2,4,8,0.008658
openMP-pi,2,4,8,0.00963
mpi-pi,2,4,8,0.01409239
mpi-pi++,2,4,8,0.014124
cpp11-pi,2,4,9,0.008224
openMP-pi,2,4,9,0.010449
