name,threads,n,duration
cpp11-pi,32,256,0.029441
openMP-pi,32,256,0.038986
mpi-pi,32,256,0.02631093
mpi-pi++,32,256,0.0451101
cpp11-pi,32,512,0.054138
openMP-pi,32,512,0.071046
mpi-pi,32,512,0.04868838
mpi-pi++,32,512,0.0648932
cpp11-pi,32,1024,0.105208
openMP-pi,32,1024,0.106141
mpi-pi,32,1024,0.09864265
mpi-pi++,32,1024,0.112486
cpp11-pi,32,2048,0.231043
openMP-pi,32,2048,0.240872
mpi-pi,32,2048,0.17553838
mpi-pi++,32,2048,0.183329
cpp11-pi,32,4096,0.385848
openMP-pi,32,4096,0.718296
mpi-pi,32,4096,0.31659229
mpi-pi++,32,4096,0.446328
cpp11-pi,32,8192,0.681798
openMP-pi,32,8192,0.745097
mpi-pi,32,8192,0.78239437
mpi-pi++,32,8192,0.680035
cpp11-pi,32,16384,1.36125
openMP-pi,32,16384,1.36959
mpi-pi,32,16384,1.28421598
mpi-pi++,32,16384,1.36339
cpp11-pi,32,1,0.001996
openMP-pi,32,1,0.01204
mpi-pi,32,1,0.00080770
mpi-pi++,32,1,0.000418958
cpp11-pi,32,2,0.001612
openMP-pi,32,2,0.012195
mpi-pi,32,2,0.00138790
mpi-pi++,32,2,0.000654837
cpp11-pi,32,4,0.00197
openMP-pi,32,4,0.01478
mpi-pi,32,4,0.00126873
mpi-pi++,32,4,0.000986238
cpp11-pi,32,8,0.00425
openMP-pi,32,8,0.013755
mpi-pi,32,8,0.00140668
mpi-pi++,32,8,0.00210141
cpp11-pi,32,16,0.00402
openMP-pi,32,16,0.01579
mpi-pi,32,16,0.00270301
mpi-pi++,32,16,0.00333984
cpp11-pi,32,32,0.006085
openMP-pi,32,32,0.015583
mpi-pi,32,32,0.00551877
mpi-pi++,32,32,0.0053645
cpp11-pi,32,64,0.009217
openMP-pi,32,64,0.017621
mpi-pi,32,64,0.01113169
mpi-pi++,32,64,0.0123103
cpp11-pi,32,128,0.020826
openMP-pi,32,128,0.053619
mpi-pi,32,128,0.01874293
mpi-pi++,32,128,0.019359
cpp11-pi,32,256,0.060424
openMP-pi,32,256,0.063934
mpi-pi,32,256,0.03866955
mpi-pi++,32,256,0.0403923
cpp11-pi,32,512,0.086027
openMP-pi,32,512,0.100404
mpi-pi,32,512,0.06482684
mpi-pi++,32,512,0.0642162
cpp11-pi,32,1024,0.122615
openMP-pi,32,1024,0.147381
mpi-pi,32,1024,0.11073727
mpi-pi++,32,1024,0.114069
cpp11-pi,32,2048,0.206086
openMP-pi,32,2048,0.190369
mpi-pi,32,2048,0.17050875
mpi-pi++,32,2048,0.176838
cpp11-pi,32,4096,0.377385
openMP-pi,32,4096,0.352139
mpi-pi,32,4096,0.33653453
mpi-pi++,32,4096,0.368999
cpp11-pi,32,8192,0.697974
openMP-pi,32,8192,0.774977
mpi-pi,32,8192,0.67186827
mpi-pi++,32,8192,0.695693
cpp11-pi,32,16384,1.41019
openMP-pi,32,16384,1.39404
mpi-pi,32,16384,1.36992283
mpi-pi++,32,16384,1.48133
cpp11-pi,32,1,0.001934
openMP-pi,32,1,0.020553
mpi-pi,32,1,0.00117537
mpi-pi++,32,1,0.00137372
cpp11-pi,32,2,0.001747
openMP-pi,32,2,0.011163
mpi-pi,32,2,0.00091193
mpi-pi++,32,2,0.000909277
cpp11-pi,32,4,0.001891
openMP-pi,32,4,0.010556
mpi-pi,32,4,0.00166850
mpi-pi++,32,4,0.00247084
cpp11-pi,32,8,0.003511
openMP-pi,32,8,0.014995
mpi-pi,32,8,0.00253358
mpi-pi++,32,8,0.00190874
cpp11-pi,32,16,0.004634
openMP-pi,32,16,0.011011
mpi-pi,32,16,0.00326914
mpi-pi++,32,16,0.00291899
cpp11-pi,32,32,0.00555
openMP-pi,32,32,0.01395
mpi-pi,32,32,0.00483803
mpi-pi++,32,32,0.00630019
cpp11-pi,32,64,0.011702
openMP-pi,32,64,0.023722
mpi-pi,32,64,0.01079357
mpi-pi++,32,64,0.0111364
cpp11-pi,32,128,0.021138
openMP-pi,32,128,0.034733
mpi-pi,32,128,0.02259687
mpi-pi++,32,128,0.0184051
cpp11-pi,32,256,0.039926
openMP-pi,32,256,0.055883
mpi-pi,32,256,0.03392385
mpi-pi++,32,256,0.0289267
cpp11-pi,32,512,0.062524
openMP-pi,32,512,0.058389
mpi-pi,32,512,0.06070683
mpi-pi++,32,512,0.0684216
cpp11-pi,32,1024,0.10456
openMP-pi,32,1024,0.108554
mpi-pi,32,1024,0.10697082
mpi-pi++,32,1024,0.116169
cpp11-pi,32,2048,0.222572
openMP-pi,32,2048,0.190424
mpi-pi,32,2048,0.22018725
mpi-pi++,32,2048,0.181848
cpp11-pi,32,4096,0.376069
openMP-pi,32,4096,0.376652
mpi-pi,32,4096,0.40825869
mpi-pi++,32,4096,0.35862
cpp11-pi,32,8192,0.780571
openMP-pi,32,8192,0.728545
mpi-pi,32,8192,0.71040565
mpi-pi++,32,8192,0.884195
cpp11-pi,32,16384,1.41426
openMP-pi,32,16384,1.66351
mpi-pi,32,16384,1.36712247
mpi-pi++,32,16384,1.40317
cpp11-pi,32,1,0.002004
openMP-pi,32,1,0.014008
mpi-pi,32,1,0.00116193
mpi-pi++,32,1,0.000572796
cpp11-pi,32,2,0.001982
openMP-pi,32,2,0.009352
mpi-pi,32,2,0.00097758
mpi-pi++,32,2,0.00150845
cpp11-pi,32,4,0.001954
openMP-pi,32,4,0.01281
mpi-pi,32,4,0.00148370
mpi-pi++,32,4,0.00152234
cpp11-pi,32,8,0.003303
openMP-pi,32,8,0.014242
mpi-pi,32,8,0.00269292
mpi-pi++,32,8,0.00313567
cpp11-pi,32,16,0.004926
openMP-pi,32,16,0.012208
mpi-pi,32,16,0.00356520
mpi-pi++,32,16,0.00399242
cpp11-pi,32,32,0.008274
openMP-pi,32,32,0.013857
mpi-pi,32,32,0.00636820
mpi-pi++,32,32,0.0067528
cpp11-pi,32,64,0.011769
openMP-pi,32,64,0.01794
mpi-pi,32,64,0.00990127
mpi-pi++,32,64,0.0103126
cpp11-pi,32,128,0.021556
openMP-pi,32,128,0.028095
mpi-pi,32,128,0.01677601
mpi-pi++,32,128,0.0144159
cpp11-pi,32,256,0.033543
openMP-pi,32,256,0.043681
mpi-pi,32,256,0.03231865
mpi-pi++,32,256,0.0385573
cpp11-pi,32,512,0.059444
openMP-pi,32,512,0.068811
mpi-pi,32,512,0.05726887
mpi-pi++,32,512,0.0600343
cpp11-pi,32,1024,0.107223
openMP-pi,32,1024,0.157761
mpi-pi,32,1024,0.10408742
mpi-pi++,32,1024,0.106547
cpp11-pi,32,2048,0.210608
openMP-pi,32,2048,0.248198
mpi-pi,32,2048,0.16119261
mpi-pi++,32,2048,0.216915
cpp11-pi,32,4096,0.407208
openMP-pi,32,4096,0.508449
mpi-pi,32,4096,0.31960658
mpi-pi++,32,4096,0.414147
cpp11-pi,32,8192,0.864295
openMP-pi,32,8192,0.81253
mpi-pi,32,8192,0.63241364
mpi-pi++,32,8192,0.798885
cpp11-pi,32,16384,1.74442
openMP-pi,32,16384,1.75354
mpi-pi,32,16384,1.26922828
mpi-pi++,32,16384,1.7135
cpp11-pi,32,1,0.00138
openMP-pi,32,1,0.016266
mpi-pi,32,1,0.00056765
