name,threads,n,run,duration
openMP-pi,8,2,10,0.000867
mpi-pi,8,2,10,0.03043641
mpi-pi++,8,2,10,0.0303563
cpp11-pi,1,4,1,0.003804
openMP-pi,1,4,1,0.004356
mpi-pi,1,4,1,0.00376185
mpi-pi++,1,4,1,0.00359852
cpp11-pi,1,4,2,0.003719
openMP-pi,1,4,2,0.004781
mpi-pi,1,4,2,0.00359737
mpi-pi++,1,4,2,0.00355879
cpp11-pi,1,4,3,0.003638
openMP-pi,1,4,3,0.00448
mpi-pi,1,4,3,0.00400111
mpi-pi++,1,4,3,0.0039081
cpp11-pi,1,4,4,0.003899
openMP-pi,1,4,4,0.006296
mpi-pi,1,4,4,0.00358904
mpi-pi++,1,4,4,0.00389664
cpp11-pi,1,4,5,0.003987
openMP-pi,1,4,5,0.009709
mpi-pi,1,4,5,0.00364928
mpi-pi++,1,4,5,0.00358665
cpp11-pi,1,4,6,0.009041
openMP-pi,1,4,6,0.012045
mpi-pi,1,4,6,0.00396778
mpi-pi++,1,4,6,0.00369579
cpp11-pi,1,4,7,0.003813
openMP-pi,1,4,7,0.004577
mpi-pi,1,4,7,0.00396799
mpi-pi++,1,4,7,0.00591087
cpp11-pi,1,4,8,0.004069
openMP-pi,1,4,8,0.01533
mpi-pi,1,4,8,0.00404304
mpi-pi++,1,4,8,0.00371063
cpp11-pi,1,4,9,0.003635
openMP-pi,1,4,9,0.004691
mpi-pi,1,4,9,0.00359184
mpi-pi++,1,4,9,0.00380506
cpp11-pi,1,4,10,0.003888
openMP-pi,1,4,10,0.00531
mpi-pi,1,4,10,0.00352287
mpi-pi++,1,4,10,0.00363978
cpp11-pi,2,4,1,0.001994
openMP-pi,2,4,1,0.002483
mpi-pi,2,4,1,0.01186077
mpi-pi++,2,4,1,0.0118704
cpp11-pi,2,4,2,0.001993
openMP-pi,2,4,2,0.002458
mpi-pi,2,4,2,0.01181809
mpi-pi++,2,4,2,0.011862
cpp11-pi,2,4,3,0.006064
openMP-pi,2,4,3,0.002886
mpi-pi,2,4,3,0.01186954
mpi-pi++,2,4,3,0.0118463
cpp11-pi,2,4,4,0.006948
openMP-pi,2,4,4,0.007338
mpi-pi,2,4,4,0.01201528
mpi-pi++,2,4,4,0.0117885
cpp11-pi,2,4,5,0.006761
openMP-pi,2,4,5,0.007993
mpi-pi,2,4,5,0.00187259
mpi-pi++,2,4,5,0.0130191
cpp11-pi,2,4,6,0.001973
openMP-pi,2,4,6,0.007942
mpi-pi,2,4,6,0.01215075
mpi-pi++,2,4,6,0.00188756
cpp11-pi,2,4,7,0.00661
openMP-pi,2,4,7,0.007086
mpi-pi,2,4,7,0.01205365
mpi-pi++,2,4,7,0.0117672
cpp11-pi,2,4,8,0.006486
openMP-pi,2,4,8,0.00789
mpi-pi,2,4,8,0.00190427
mpi-pi++,2,4,8,0.0117815
cpp11-pi,2,4,9,0.006383
openMP-pi,2,4,9,0.003746
mpi-pi,2,4,9,0.00190833
mpi-pi++,2,4,9,0.00185109
cpp11-pi,2,4,10,0.006467
openMP-pi,2,4,10,0.004247
mpi-pi,2,4,10,0.01185526
mpi-pi++,2,4,10,0.00184298
cpp11-pi,4,4,1,0.001069
openMP-pi,4,4,1,0.001756
mpi-pi,4,4,1,0.01101106
mpi-pi++,4,4,1,0.0208661
cpp11-pi,4,4,2,0.003537
