name,slurm_node,vectorization,randomness,run_id,nodes,cpus,tasks_per_node,width,height,rounds,size,threads,core_duration,core_duration_per_cell,top_bottom_duration,top_bottom_duration_per_cell,calculation_duration,calculation_duration_per_cell,communication_duration,total_duration,render_duration,images
lgca-100000,lxbk1029,avx512,fake,20036623,1,48,1,100000,100000,1000,1,48,293.767748221,0.029377362369347387,0.90596548,4.5298274,294.673713701,0.0294673713701,0.000764173,294.674477874,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,1,48,10000,210,1000,48,1,0.887702944,0.008891255448717949,0.066220733,0.06897993020833335,0.953923677,0.009463528541666667,0.074505237,1.028428914,0,0
lgca-100,lxbk1029,avx512,fake,20036604,2,48,1,100,50,1000,2,48,0.075959748,7.91247375,0.001497291,3.7432275,0.077457039,7.7457039,0.036106593,0.113563632,0,0
lgca-1000,lxbk1029,avx512,fake,20036604,2,48,1,1000,500,1000,2,48,0.120587024,0.1210713092369478,0.01049102,2.622755,0.131078044,0.131078044,0.037487882,0.168565926,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,48,1,10000,5000,1000,2,48,1.317535787,0.01318063012204882,0.097953955,2.448848875,1.415489742,0.01415489742,0.083227134,1.498716876,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,24,2,10000,2500,1000,4,24,0.333109844,0.0033337654523618895,0.067843286,0.848041075,0.40095313,0.0040095313,0.021846359,0.422799489,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,16,3,10000,1668,1000,6,16,0.329796786,0.003299287575030012,0.063159993,0.526333275,0.392956779,0.003926426648681055,0.263074504,0.656031283,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,12,4,10000,1250,1000,8,12,0.293835444,0.0029430633413461537,0.070716286,0.4419767875,0.36455173,0.0036455173,0.032349195,0.396900925,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,8,6,10000,834,1000,12,8,0.276847628,0.002772912940705128,0.065309509,0.27212295416666665,0.342157137,0.0034188363009592325,0.034020147,0.376177284,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,6,8,10000,626,1000,16,6,0.292258369,0.0029272673177083335,0.075188131,0.234962909375,0.3674465,0.003668595247603834,0.033606839,0.401053339,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,4,12,10000,418,1000,24,4,0.267392336,0.002678208493589744,0.066073047,0.13765218124999998,0.333465383,0.003324016975677831,0.048682463,0.382147846,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,2,24,10000,210,1000,48,2,0.380188483,0.003807977594150641,0.083749704,0.087239275,0.463938187,0.004602561378968254,0.040903505,0.504841692,0,0
