implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
sort-unstable,sort4M.data,78,3,1,1,1,1,4194304,2000,2000,0.153664823,0,0,0.264876857,0,0,0,0.577418349,0,1.001534762
mpi-multi,sort1M.data,66,0,1,2,2,8,1048576,2418,1209,0.002620977,0.070812832,0.282359801,0.016069071,0.018813836,0.00001679,0.294874,0.024041,0.05635,0.274516588
mpi-multi,sort1M.data,66,1,1,2,2,8,1048576,2418,1209,0.00285565,0.064754945,0.278238128,0.01421904,0.018762654,0.000013027,0.191654,0.018053,0.057329,0.267619636
mpi-multi,sort1M.data,66,2,1,2,2,8,1048576,2418,1209,0.00347917,0.061102671,0.273706251,0.014448185,0.018600006,0.000012093,0.185719,0.018976,0.056264,0.261492345
mpi-multi,sort1M.data,66,3,1,2,2,8,1048576,2418,1209,0.003581495,0.06159373,0.287392775,0.011605067,0.018897106,0.000028245,0.188929,0.023588,0.054778,0.268137563
mpi-multi,sort64K.data,41,0,1,4,4,16,65536,4016,1004,0.001202435,0.032503305,0.009073254,0.002509559,0.001827971,0.000184587,0.058023,0.00053,0.007088,0.047311669
mpi-multi,sort64K.data,41,1,1,4,4,16,65536,4016,1004,0.001811637,0.032781865,0.009315332,0.002595274,0.001751981,0.000196767,0.039472,0.000538,0.006966,0.047563859
mpi-multi,sort64K.data,41,2,1,4,4,16,65536,4016,1004,0.001644461,0.032094199,0.0089678,0.002981914,0.001791118,0.000198677,0.038469,0.000503,0.007123,0.046658605
mpi-multi,sort64K.data,41,3,1,4,4,16,65536,4016,1004,0.001211135,0.031759416,0.009156486,0.002853138,0.001751777,0.000210107,0.038249,0.000619,0.007266,0.046562212
mpi-multi,sort256K.data,54,0,1,4,4,16,262144,4068,1017,0.00232939,0.035026964,0.026770774,0.001693573,0.004308614,0.000855504,0.059056,0.001299,0.010059,0.062310445
mpi-multi,sort256K.data,54,1,1,4,4,16,262144,4068,1017,0.003464725,0.034738003,0.026237722,0.001667698,0.004137994,0.000897456,0.050885,0.001363,0.010337,0.062887318
mpi-multi,sort256K.data,54,2,1,4,4,16,262144,4068,1017,0.002456196,0.035122117,0.025291645,0.001556272,0.004074039,0.000846724,0.049938,0.001086,0.009766,0.061607147
mpi-multi,sort256K.data,54,3,1,4,4,16,262144,4068,1017,0.002243847,0.037597435,0.029138246,0.003362289,0.00444037,0.000726598,0.054777,0.000932,0.011603,0.067582604
mpi-multi,sort16K.data,28,0,1,4,4,16,16384,4004,1001,0.000989579,0.033020183,0.005632088,0.001951568,0.00100024,0.00000952,0.038289,0.00124,0.004552,0.042975234
