implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
sort-unstable,sort64K.data,39,0,1,1,1,1,65536,2000,2000,0.003711018,0,0,0.002307994,0,0,0,0.004761827,0,0.011312337
radix-sort,sort64K.data,39,1,1,1,1,1,65536,2000,2000,0.00362435,0,0,0.001700472,0,0,0,0.014094089,0,0.019920329
sort-unstable,sort64K.data,39,1,1,1,1,1,65536,2000,2000,0.003511474,0,0,0.002216861,0,0,0,0.004758007,0,0.010993741
radix-sort,sort64K.data,39,2,1,1,1,1,65536,2000,2000,0.003427746,0,0,0.002037773,0,0,0,0.014780319,0,0.02079985
sort-unstable,sort64K.data,39,2,1,1,1,1,65536,2000,2000,0.003275592,0,0,0.002060335,0,0,0,0.004678601,0,0.010522622
radix-sort,sort64K.data,39,3,1,1,1,1,65536,2000,2000,0.003404639,0,0,0.001965235,0,0,0,0.013320094,0,0.019205281
sort-unstable,sort64K.data,39,3,1,1,1,1,65536,2000,2000,0.003353406,0,0,0.002227068,0,0,0,0.004762335,0,0.01089685
mpi-multi,sort4K.data,16,0,1,8,8,32,4096,8000,1000,0.000470236,0.000782528,0.004562609,0.004157256,0.000741198,0.00002032,0.008403,0.000675,0.005766,0.011899668
mpi-multi,sort4K.data,16,1,1,8,8,32,4096,8000,1000,0.000526838,0.000706205,0.004090354,0.004077872,0.000686216,0.000028141,0.003608,0.001196,0.005804,0.011290156
mpi-multi,sort4K.data,16,2,1,8,8,32,4096,8000,1000,0.000389174,0.000662063,0.00313388,0.003789349,0.000744785,0.00001665,0.003394,0.00042,0.005316,0.009991811
mpi-multi,sort4K.data,16,3,1,8,8,32,4096,8000,1000,0.000423905,0.000703074,0.003930418,0.003940853,0.000722571,0.000032011,0.004338,0.000627,0.005508,0.011478972
mpi-multi,sort256K.data,53,0,1,2,2,8,262144,2104,1052,0.001838742,0.01479815,0.072363245,0.007364492,0.004999802,0.001225554,0.060632,0.006323,0.018403,0.073885783
mpi-multi,sort256K.data,53,1,1,2,2,8,262144,2104,1052,0.001903258,0.014669405,0.066909068,0.00745185,0.005485454,0.001175186,0.048504,0.004053,0.01915,0.071853491
mpi-multi,sort256K.data,53,2,1,2,2,8,262144,2104,1052,0.002842781,0.016412767,0.073486164,0.007695864,0.005330579,0.001265241,0.052976,0.005754,0.019451,0.078374342
mpi-multi,sort256K.data,53,3,1,2,2,8,262144,2104,1052,0.00285718,0.016185039,0.072431546,0.006975649,0.005221553,0.001283013,0.053182,0.004743,0.018534,0.076631344
mpi-multi,sort4K.data,14,0,1,2,2,8,4096,2000,1000,0.000453218,0.001131814,0.008196658,0.005213496,0.000389373,0.000013314,0.006308,0.00319,0.006461,0.01531654
mpi-multi,sort4K.data,14,1,1,2,2,8,4096,2000,1000,0.000768044,0.001105081,0.007043711,0.004889495,0.000394325,0.000013677,0.005907,0.002632,0.006122,0.014740501
mpi-multi,sort4K.data,14,2,1,2,2,8,4096,2000,1000,0.000687144,0.001130681,0.007645697,0.005055087,0.000394968,0.000013445,0.00566,0.002933,0.006314,0.015146246
mpi-multi,sort4K.data,14,3,1,2,2,8,4096,2000,1000,0.000711677,0.002552639,0.007850828,0.004736014,0.000375717,0.000013745,0.007116,0.003082,0.005968,0.016330166
mpi-multi,sort256K.data,54,0,1,4,4,16,262144,4068,1017,0.001888237,0.014762468,0.045012529,0.001929514,0.007451416,0.000582631,0.212413,0.001727,0.014689,0.056535781
mpi-multi,sort256K.data,54,1,1,4,4,16,262144,4068,1017,0.007109625,0.017159396,0.042979641,0.00230904,0.007357756,0.000695821,0.04722,0.001503,0.015093,0.064329669
mpi-multi,sort256K.data,54,2,1,4,4,16,262144,4068,1017,0.002991522,0.01535699,0.043201526,0.002631549,0.007224278,0.000697891,0.04102,0.001717,0.015256,0.058102836
mpi-multi,sort256K.data,54,3,1,4,4,16,262144,4068,1017,0.004057679,0.017423761,0.043144477,0.005883086,0.00748516,0.00066023,0.043614,0.001637,0.02164,0.067506415
mpi-multi,sort64K.data,41,0,1,4,4,16,65536,4016,1004,0.001358991,0.031115454,0.008693503,0.001967383,0.001665978,0.000192268,0.0562,0.000423,0.005608,0.044126184
mpi-multi,sort64K.data,41,1,1,4,4,16,65536,4016,1004,0.002157692,0.032261578,0.009875458,0.00262037,0.001762619,0.000178337,0.039928,0.00086,0.006683,0.047729401
mpi-multi,sort64K.data,41,2,1,4,4,16,65536,4016,1004,0.001940084,0.036578214,0.00992589,0.002667201,0.00177341,0.000159566,0.043821,0.000947,0.006686,0.051979675
mpi-multi,sort64K.data,41,3,1,4,4,16,65536,4016,1004,0.001359613,0.031069672,0.00989345,0.002909348,0.001738698,0.000166577,0.037923,0.000879,0.007113,0.046199803
mpi-multi,sort1M.data,66,0,1,2,2,8,1048576,2418,1209,0.004222437,0.076884157,0.286953216,0.011915792,0.026402689,0.000020197,0.2672,0.015481,0.062096,0.289862595
mpi-multi,sort1M.data,66,1,1,2,2,8,1048576,2418,1209,0.007274011,0.078680431,0.288807406,0.010202971,0.024356293,0.000019052,0.213527,0.020122,0.057424,0.291650096
mpi-multi,sort1M.data,66,2,1,2,2,8,1048576,2418,1209,0.004059788,0.070844434,0.252676983,0.011895709,0.024007905,0.000025347,0.198616,0.005285,0.058264,0.26270503
mpi-multi,sort1M.data,66,3,1,2,2,8,1048576,2418,1209,0.003709722,0.063925913,0.286139076,0.011866502,0.025876233,0.000020328,0.193621,0.020685,0.06137,0.275808997
mpi-multi,sort16K.data,29,0,1,8,8,32,16384,8000,1000,0.00105252,0.033887971,0.002840259,0.00157239,0.001126894,0.000015341,0.038851,0.000196,0.003977,0.042032614
mpi-multi,sort16K.data,29,1,1,8,8,32,16384,8000,1000,0.001018949,0.030945808,0.005854714,0.002905241,0.001299737,0.00001271,0.034316,0.000233,0.005644,0.041916919
mpi-multi,sort16K.data,29,2,1,8,8,32,16384,8000,1000,0.000905765,0.030814203,0.003071228,0.00181849,0.001675566,0.000019291,0.034496,0.000245,0.005226,0.040224493
mpi-multi,sort16K.data,29,3,1,8,8,32,16384,8000,1000,0.000984167,0.030645487,0.003593407,0.001697701,0.00170157,0.000018161,0.034368,0.000354,0.004965,0.040088999
mpi-multi,sort1M.data,67,0,1,4,4,16,1048576,4276,1069,0.004232591,0.130826449,0.166923738,0.010436295,0.025212143,0.000014421,0.311523,0.006404,0.053481,0.275644098
mpi-multi,sort1M.data,67,1,1,4,4,16,1048576,4276,1069,0.003899717,0.133957858,0.177339684,0.010339938,0.025096643,0.000016839,0.223681,0.003722,0.053282,0.283303392
mpi-multi,sort1M.data,67,2,1,4,4,16,1048576,4276,1069,0.003254892,0.131126073,0.167310636,0.012153605,0.02516048,0.000016101,0.216506,0.005325,0.054794,0.277358384
mpi-multi,sort1M.data,67,3,1,4,4,16,1048576,4276,1069,0.004466379,0.130932824,0.175682443,0.01118661,0.024971912,0.000015747,0.221065,0.002442,0.054148,0.280923983
mpi-multi,sort256K.data,55,0,1,8,8,32,262144,8056,1007,0.004998597,0.034203539,0.024893329,0.002575122,0.005546237,0.0000135,0.250448,0.000317,0.010909,0.064267411
mpi-multi,sort256K.data,55,1,1,8,8,32,262144,8056,1007,0.006208179,0.033737937,0.02419051,0.001945391,0.005520967,0.000101204,0.053323,0.000162,0.010552,0.064742441
mpi-multi,sort256K.data,55,2,1,8,8,32,262144,8056,1007,0.005240739,0.033109221,0.025228352,0.001751291,0.005491485,0.000092984,0.052297,0.000206,0.010354,0.063454587
mpi-multi,sort256K.data,55,3,1,8,8,32,262144,8056,1007,0.004995307,0.032868052,0.024639168,0.002518797,0.00596339,0.000088214,0.051463,0.000149,0.011629,0.063634834
radix-sort,sort256K.data,52,0,1,1,1,1,262144,2000,2000,0.013972475,0,0,0.009550561,0,0,0,0.133665828,0,0.158613039
sort-unstable,sort256K.data,52,0,1,1,1,1,262144,2000,2000,0.015427172,0,0,0.009393424,0,0,0,0.025715838,0,0.051996422
radix-sort,sort256K.data,52,1,1,1,1,1,262144,2000,2000,0.013801624,0,0,0.009416289,0,0,0,0.130925741,0,0.155560317
sort-unstable,sort256K.data,52,1,1,1,1,1,262144,2000,2000,0.014070695,0,0,0.009359709,0,0,0,0.025950866,0,0.050906222
radix-sort,sort256K.data,52,2,1,1,1,1,262144,2000,2000,0.014199177,0,0,0.009520204,0,0,0,0.131056728,0,0.156210185
sort-unstable,sort256K.data,52,2,1,1,1,1,262144,2000,2000,0.01330735,0,0,0.009267145,0,0,0,0.025146563,0,0.049206476
radix-sort,sort256K.data,52,3,1,1,1,1,262144,2000,2000,0.01380758,0,0,0.008843344,0,0,0,0.127551248,0,0.151616145
sort-unstable,sort256K.data,52,3,1,1,1,1,262144,2000,2000,0.013614575,0,0,0.009109736,0,0,0,0.024797682,0,0.048981922
mpi-multi,sort4M.data,80,0,1,4,4,16,4194304,5116,1279,0.004874392,0.210483608,0.40231612,0.062689849,0.077997981,0.000024423,0.761901,0.021787,0.208833,0.726557802
mpi-multi,sort4M.data,80,1,1,4,4,16,4194304,5116,1279,0.006850551,0.21252568,0.397466809,0.061345147,0.078990379,0.000018152,0.496443,0.018926,0.209734,0.726748404
mpi-multi,sort4M.data,80,2,1,4,4,16,4194304,5116,1279,0.006145606,0.214740488,0.397242115,0.063457022,0.077999784,0.000018643,0.502516,0.011704,0.208711,0.725342103
mpi-multi,sort4M.data,80,3,1,4,4,16,4194304,5116,1279,0.005634651,0.210424857,0.395339237,0.066752889,0.079030281,0.000017967,0.491004,0.017781,0.213543,0.725874011
radix-sort,sort1M.data,65,0,1,1,1,1,1048576,2000,2000,0.039937204,0,0,0.041693879,0,0,0,0.122219319,0,0.205391048
sort-unstable,sort1M.data,65,0,1,1,1,1,1048576,2000,2000,0.043316364,0,0,0.040845417,0,0,0,0.126279109,0,0.211801587
radix-sort,sort1M.data,65,1,1,1,1,1,1048576,2000,2000,0.035677152,0,0,0.04174197,0,0,0,0.115673516,0,0.193436732
sort-unstable,sort1M.data,65,1,1,1,1,1,1048576,2000,2000,0.059742725,0,0,0.041761929,0,0,0,0.135207706,0,0.242461308
radix-sort,sort1M.data,65,2,1,1,1,1,1048576,2000,2000,0.040267577,0,0,0.039953315,0,0,0,0.117912208,0,0.199797825
sort-unstable,sort1M.data,65,2,1,1,1,1,1048576,2000,2000,0.039149013,0,0,0.047074093,0,0,0,0.125089501,0,0.21313471
radix-sort,sort1M.data,65,3,1,1,1,1,1048576,2000,2000,0.037603481,0,0,0.039956114,0,0,0,0.126563771,0,0.205151277
sort-unstable,sort1M.data,65,3,1,1,1,1,1048576,2000,2000,0.041961322,0,0,0.040946074,0,0,0,0.12900917,0,0.214254108
mpi-multi,sort1M.data,68,0,1,8,8,32,1048576,8232,1029,0.034457312,0.047571511,0.107501906,0.0040305,0.024569467,0.000022261,0.216594,0.001176,0.055258,0.193685113
mpi-multi,sort1M.data,68,1,1,8,8,32,1048576,8232,1029,0.026220191,0.046393433,0.109727422,0.005752401,0.028521354,0.000028481,0.124756,0.001275,0.054492,0.184559684
mpi-multi,sort1M.data,68,2,1,8,8,32,1048576,8232,1029,0.020117201,0.046256548,0.112405578,0.002389867,0.059519242,0.000045922,0.118884,0.001281,0.079,0.205193955
mpi-multi,sort1M.data,68,3,1,8,8,32,1048576,8232,1029,0.021042336,0.046400576,0.111522464,0.004708646,0.029290321,0.000027951,0.120501,0.001233,0.051525,0.177671663
mpi-multi,sort4M.data,79,0,1,2,2,8,4194304,3676,1838,0.006200563,0.211760342,0.545777864,0.001377887,0.308734191,0.000027838,0.938516,0.02587,0.374862,1.087407604
mpi-multi,sort4M.data,79,1,1,2,2,8,4194304,3676,1838,0.005907376,0.221783753,0.548782883,0.001590456,0.315063003,0.000038799,0.69852,0.022604,0.385867,1.108694571
mpi-multi,sort4M.data,79,2,1,2,2,8,4194304,3676,1838,0.006518222,0.222985363,0.555130476,0.001461584,0.311263605,0.000037894,0.708674,0.023154,0.383639,1.117472695
mpi-multi,sort4M.data,79,3,1,2,2,8,4194304,3676,1838,0.005275587,0.226837076,0.559070479,0.001464839,0.314400164,0.000038653,0.705975,0.040574,0.384596,1.132514682
